chinese,count,korean,english
衛國,18,나라를 지키다,protect one's country
契機,18,계기,opportunity
宮,18,경각하다,be on one's guard
危重症,18,,
題材,17,제재,subject matter
研討會,17,치적,political achievement
哥,17,,
林書豪,17,,
張峻,17,,
轉機,17,비행기를 갈아타다.,turnaround
海洋,17,바다,Oceans and seas
信念,17,신념,belief
場域,17,산시 성,Shanxi Province
大廈,17,빌딩,building
肉,17,고기,meat
共同利益,17,공동이익,common interest
山,17,산,mountain
鍵,17,키,key
電廠,17,발전소,Power plant
街,17,거리,street
站上,17,서다,stand on one's feet
組團,17,단체를 조직하다,form a group
災害,17,재해,Disasters
新人,17,신인,newcomer
網絡,17,네트워크,Networking
潮,17,조수,tide
美食,17,미식,gourmet food
國防授,17,열정적이다.,enthusiasm
飛行員,17,자민당,Liberal Democratic Party (LDP)
都市,17,도시,City (disambiguation)
成長率,17,성장률,growth rate
黨魁,17,당수.,party leader
例子,17,정저우,Zhengzhou Municipality
總數,17,총수,Total number
習慣,17,린보펑,Lin Po-feng (disambiguation)
鄰國,17,이웃 나라,Neighbouring countries
共同富裕,17,함께 부유하다.,common prosperity
商店,17,,
陳正祺,17,,
民用,17,급료,Salary
員會,17,위원회,a board of commissioners
聯絡,17,연락하다,contact
士兵,17,사병,Soldier (disambiguation)
前科,17,,
土,17,흙,earth
台灣國,17,타이완 국,Republic of Taiwan
成長,17,성장하다.,grow
上路,17,길을 떠나다,set out on the road
韓正,17,한정,Han-jeong (disambiguation)
物品,17,물품,articles
影院,17,,
戰狼,17,전랑,Wolf of War
彈藥,17,타지크,Republic of Tajikistan
民,17,민,people
抗體,17,,
名譽,17,명예,honor
語,17,말,language
苗華,17,,
鐵路,17,철로,Railways
大公,17,큰아버지.,Archduke of France
進程,17,진행 과정,Process
考紀,17,,
長達,17,장장하다,be as long as
機組,17,세트,crew
中國國務院聯,17,,
人心,17,한도,limit
愛國,17,애국하다,patriotism
鏡頭,17,렌즈,lens
路口,17,,
中央政治局,17,중앙정치국,Politburo of the People's Republic of China
財務,17,재무,Finance
宿舍,17,,
單價,17,단가,unit price
事宜,17,사무,matters
安倍晉三,17,아베 신조,Prime Minister Shinzo Abe of Japan
毛寧,17,친한 친구,a close friend
姿態,17,자태,posture
王岐山,17,왕치산,Wang Qishan Mountain
鄭,17,선두에 서다,take the lead
心態,17,심리 상태,mentality
頻率,17,주파수,Frequency
長江,17,애도하다,pay one's respects
行政部,17,행정부,Department of Administration
福祉,17,복리,well-being
盤點,17,재고조사,take stock
紅色,17,붉은색,red
李文亮,17,,
李秉穎,17,,
軍援,17,시 전체,the whole city
小米,16,좁쌀,millet
乘客,16,승객,Passenger (disambiguation)
時事,16,시사,current events
色彩,16,색채,Color (color)
產能,16,생산능력,production capacity
傳染力,16,,
息,16,휴식하다,take a breather
疑,16,의심하다,doubt
大會堂,16,대회당,General Assembly Hall
領,16,통솔하다,lead
公務,16,공무,Official duties
上周五,16,지난주 금요일,Friday.
聲量,16,성량,volume of sound
走勢,16,추세,trend
景點,16,명소,Attractions
習家軍,16,습가군,The Xi'an Army
貨物,16,화물,goods
台化,16,대만 문화,Taiwanization
行列,16,행렬,procession
平息,16,잠잠해지다,calm down
富豪,16,부자,a rich man
政務,16,정무,government affairs
邱臣遠,16,추신원,Qiu Chenyuan (disambiguation)
訴,16,호소하다,sue
郵報,16,허가하다,Approved
命令,16,명령하다.,order
威,16,위엄,dignity
代理,16,유골,remains
江啟臣,16,강계신,Jiang Qichen (disambiguation)
貨運,16,화물운송,Freight forwarding
邱,16,구,hill
日子,16,날,date
兩岸一家親,16,양안 일가친척,a family on both sides of the Taiwan Strait
友邦,16,우방,friendly country
侵略性,16,침략성,aggressive
條約,16,조약,Treaties
樣本,16,,
商界,16,상업계,business community
公衛,16,공위,public health
災區,16,,
處境,16,처지,situation
浪潮,16,물결,wave
四通,16,사통,four-way connection
門口,16,입구,doorway
被告,16,피고,Defendants
高峰期,16,,
廠牌,16,,
鳳梨,16,네모난 선실,square cabin
福建省,16,푸젠 성,Fujian Province
鷹,16,여객운송,Passenger transportation
陸方,16,육방,land side
參議,16,회의에 참가하다,consultation
癌症,16,,
維吾爾,16,위구르,Uyghur Autonomous Region
村,16,,
道瓊,16,,
同台,16,같은 무대,be on the same stage
生態,16,생태,Ecological
眾院,16,하원,House of Representatives
全,16,전,all
智慧型,16,지능형,intelligent type
屈服,16,굴복하다,give in
前,16,앞,previous
秦剛,16,친강,Qin Gang (disambiguation)
高齡,16,고령의,old age
音樂,16,음악,Music (music)
碳,16,탄소,Carbon (disambiguation)
廣東省,16,,
行情,16,시세,market price
包瑞翰,16,,
政體,16,정체,Government
躺平,16,반듯하게 눕다,lie flat
房子,16,,
唱歌,16,,
階,16,층계,step
活力,16,활력,vitality
珍菌堂,16,,
大城市,16,대도시,Big cities
利用率,16,이용률,Utilization rate
港股,16,홍콩 주식,Hong Kong stock market
股權,16,주주권,equity interest
英特爾,16,인텔,Intel Corporation
微視,16,,
力度,15,힘,strength
存量,15,재고량,stock
鏡電視,15,,
州,15,지진,earthquake
當場,15,그 자리에서,on the spot
晚宴,15,만찬회,dinner party
外銷,15,지휘관,Commander (United States)
獨家,15,단독의,exclusive
婚姻,15,혼인,Marriage (disambiguation)
風向,15,풍향,wind direction
命,15,팔자,life
國論,15,국론,national opinion
傳染性,15,,
中學,15,중학교,Secondary school
記憶體,15,종교,Religion and religion
目的地,15,목적지,destination
陳敏爾,15,,
商人,15,상인,a businessman
卡爾,15,칼,"Carl, Duke of Saxe-Coburg-Coburg-Gotha"
沙,15,검찰측,prosecution
外電,15,,
劉威甫,15,,
傳媒,15,매스컴,Media coverage
呂秀蓮,15,셰즈웨이,Hsieh Chi-wai (disambiguation)
市議員,15,시의원,city councilor
公,15,공공의,government
次長,15,차장,deputy chief
多國,15,전당,the whole party
曾聖光,15,,
大門,15,대문,gate
宗教,15,국가보안법,National Security Law
兩黨,15,양당,both parties
學會,15,학회,Society for the Advancement of Women
武裝,15,무장하다,Armed forces
方略,15,방략,strategy
趙立堅,15,자오리젠,Zhao Lijian (disambiguation)
青少年,15,청소년,Adolescents
高虹,15,,
倡議,15,제의하다,initiative
租金,15,임대료,Rental
墨西哥,15,실험실,laboratory
美國國家,15,궈타이밍,Guo Tai-ming (disambiguation)
核電廠,15,원자력 발전소,Nuclear power plant
拍板,15,박자,clapboard
共青,15,,
中國衛健委,15,,
店家,15,,
兵戎,15,병기,military service
曲線,15,,
集權,15,집권하다,centralization of power
月間,15,월간,month
樂園,15,,
周春米,15,,
通告,15,,
晚會,15,이브닝 파티,evening party
比率,15,후춘화,Hu Chunhua (disambiguation)
重影,15,공기,air
全區,15,,
細胞,15,,
校長,15,쇼핑,Shopping
市長候,15,시장 대기자,Mayor's Day
餐飲,15,식사와 음료,Catering
病床,15,,
嘴,15,입,mouth
長照,15,,
地步,15,지경,ground
窗口,15,창,window
債,15,빚,debt
德,15,민원,complaints
醫護,15,,
蔣氏,15,,
保台,15,보안 플랫폼,stand-by
傅,15,부여하다,fiddle with
檢方,15,검찰측,prosecution
生事,15,,
川普,15,촨푸,Trump (disambiguation)
鍋物,15,,
前任,15,전임자,predecessor
顏值,15,,
美系,15,미국계,American system
歷經,15,여러 번 겪다,go through
決議案,15,결의안,Resolution
鄉鎮,15,,
前線,15,보충 부품,Supplementary parts
產線,15,생산 라인,production line
異議,14,이의,Objection
全力支持,14,전폭적으로 지지하다,Full support
明德,14,,
公道,14,,
老鼠,14,,
府,14,관청,government
資助,14,원조하다,Funding
大火,14,큰불,fire
馬曉光,14,마샤오광,Ma Xiaoguang (disambiguation)
文化交流,14,문화 교류,Cultural exchange
長輩,14,,
班班,14,반,shift
權重,14,,
政論,14,정론,political discourse
進典,14,,
民意代表,14,민의 대표,public opinion representative
團派,14,떼를 짓다,regimentalist
不合理,14,불합리하다,unreasonable
民代,14,민대,people's generation
李喜明,14,리시밍,Lee Hee-myung (disambiguation)
人道,14,휴머니즘,humanity
明報,14,명보,Ming Pao Daily News
蓬勃,14,왕성하다,flourish
翁柏宗,14,,
家鄉,14,고향,one's native land
弱勢,14,금관리회,Financial Services Commission
議,14,지하,underground
大選,14,총선거,General election
艾爾,14,,
病況,14,,
大勝,14,대승,win by a large margin
防線,14,방어선,line of defense
歷任,14,역임하다,successive appointments
林姿妙,14,,
資安,14,쯔안,Zi'an Corporation
腦,14,뇌,brain
處分,14,,
房,14,방,house
朝鮮半島,14,식약,food and medicine
福利部,14,,
病史,14,,
移民,14,이민을 가다,Immigration
海空,14,하늘과 바다,air and sea
家,14,거리,Street (disambiguation)
施振榮,14,,
波克夏,14,,
吳秀梅,14,,
琉,14,,
玉山,14,옥산,Yushan Mountain
阻力,14,저항력,resistance
負荷,14,부하,load
等候,14,,
全國政協,14,전국인민정치협상회의,National People's Political Consultative Conference
蟑螂,14,,
權貴,14,,
良性,14,양성,virtuous
言行,14,문예,arts and literature
景區,14,,
埃及,14,보호력,protective power
手上,14,손아귀,in one's hand
專門,14,특별히,specifically
硬體,14,경체,hardware
終端,14,터미널,Terminal (disambiguation)
住民,14,주민,inhabitants
男女,14,남녀,men and women
院會,14,원회,House of Representatives
台生,14,타이성,Taisho Corporation
朱鳳蓮,14,주봉련,Chinese fenglian
台酒,14,,
東方,14,동방,East
工作站,14,,
薪水,14,봉급,Salary
廳,14,홀,Office
動向,14,감염자,infected person
版圖,14,판도,map
觀光客,14,,
巨頭,14,기세를 올리다,build momentum
被害人,14,,
特性,14,특성,characteristic
護照,14,여권,passport
參院,14,참의원,House of Councillors
杜甘,14,,
政委,14,정치위원,Politburo Commissioners
前途,14,앞길,the future
條目,14,,
趙美蘭,14,,
心聲,14,속마음,one's heart's content
參觀,14,구경하다.,visit
中國夢,14,중국몽,The Chinese Dream
嘴巴,14,입,mouth
矮化,14,왜소화,dwarf
南德,14,위험지역,risk zone
依序,14,순서대로,in order
題目,14,제목,subject
個別,14,스위스,Switzerland
專題,14,어린이,child
布條,14,,
新廠,14,신공장,new factory
網上,14,중국 국가위생건강위원회,National Health Commission of China
宇宙,14,우주,the universe
黑龍江,14,,
建廠,14,공장을 건설하다,build a factory
天數,14,천명,Number of days
比利,13,빌리,Billy the Kid
跨黨,13,당을 뛰어넘다,cross-party
市區,13,,
警覺,13,경각하다,be on one's guard
心臟,13,,
衛生局,13,보건국,Department of Health
爭端,13,분쟁의 실마리,Disputes
前瞻,13,전망하다,forward-looking
以利,13,이익,profitably
健,13,,
白色,13,,
腦炎,13,,
主力,13,공직,Public office
來台,13,무대에 오르다,come to Taiwan
路邊,13,,
行使,13,기계,Machine
排隊,13,줄을 서다.,line up
勇士,13,용사,a man of valor
飲食,13,,
憲章,13,핑둥현,Pingtung County
核准,13,허가하다,Approved
動物,13,동물,Animal species
阿富汗,13,아프가니스탄,Afghanistan national football team
省長,13,성장,provincial governor
水域,13,수역,waters
黑金,13,흑금,black gold
大西洋,13,공장 구역,factory area
意度,13,,
太平,13,태평하다,peaceful
車站,13,,
群,13,여왕,Queen of the United Kingdom
無黨籍,13,무소속,Independent (United States)
藥店,13,,
故鄉,13,,
陸克文,13,비서,Secretary
一旁,13,,
公會,13,길드,trade union
林右昌,13,,
數人,13,사람을 세다,count the number of people
伯恩斯,13,번스,Burns (disambiguation)
台上,13,무대 위,stage
華語,13,중국어,Chinese language
黨紀,13,,
家用,13,,
地球,13,지구,Earthly
委會,13,위원회,Commission
杜魯,13,두루,Truro (disambiguation)
序,13,,
侯,13,,
劉泰英,13,,
情資,13,인정과 자질,affection
馬桶,13,,
歷史性,13,그룹,group
起源,13,기원,Origins of origin
發言,13,발언하다,Statements
傾向,13,경향,inclination
脆弱性,13,,
公文,13,,
棘手,13,까다롭다,tricky
籌碼,13,칩,chip
疾管署,13,,
規畫,13,계획하다,plan
入局,13,,
關聯,13,관련있다.,correlation
漲幅,13,상승폭,increase
平民,13,평민,Civilian population
倫理,13,윤리,ethics
科主任,13,,
房屋,13,가옥,Housing
戲,13,홍수주,Hong Soo-joo (disambiguation)
淡化,13,희미해지다,downplay
鎮,13,마을,town
草案,13,초안,Draft resolution
公益,13,공익,public interest
韓聯社,13,연합뉴스,Yonhap News Agency
忠,13,충직하다,loyalty
同情,13,동정하다,sympathize with
對手,13,적수,opponent
縱容,13,묵인하다,condone
車場,13,,
沈,13,심하다,sink
皇家,13,황실,The Royal Family
毒株,13,변종,strain
白,13,백,white
胡耀邦,13,,
陶斐,13,,
情事,13,정사,affair
祖國統,13,조국통,reunification of the motherland
用途,13,용도,Purpose of use
壓制,13,억누르다,repress
海基,13,해기,sea-based
同事,13,동료,colleagues
溫度,13,관광객,tourist
國發所,13,,
世人,13,지하철,Subway (disambiguation)
標,13,표시하다,mark
口服,13,,
大會議,13,,
殖民,13,당첨되다.,win a prize
人染疫,13,,
家裡,13,,
風波,13,풍파,wind and waves
里程碑,13,이정표,milestone
青海,13,,
聯合軍,13,연합군,Allied Forces
大S,13,,
小黨,13,,
實彈,13,실탄,live ammunition
表,13,국가안보국,National Security Agency
函,13,편지,letter
紅,13,붉은,red
右翼,13,우익,Right wing
口水,13,침,spit
桌,13,탁자,Table (disambiguation)
地址,13,주소,address
大工,13,국경,nationality
業國,13,차량,Vehicles
根本就是,13,,
防衛省,13,방위성,Ministry of Defence
光客,13,,
伺服器,13,서버,Server (computing)
俄中,13,러중,Russia-China relations
英雄,13,영웅,hero
消防,13,,
漁民,13,교육부,Ministry of Education
潘文忠,13,,
萬安,13,,
雲,12,구름,cloud
協力,12,협력하다,work together
美國商務部,12,미국 상무부,U.S. Department of Commerce
整治,12,,
況,12,선박,ship
條款,12,약관,Terms and Conditions
拜票,12,,
修憲,12,헌법을 개정하다,amend the constitution
軌道,12,궤도,Orbital trajectory
期貨,12,산경,Book of Sankei
空前,12,러시아,Russian Federation
市佔率,12,,
島嶼,12,섬,Island (disambiguation)
根源,12,근원,root cause
海峽中線,12,해협중앙선,Channel Midline
場合,12,자리,occasion
洪孟楷,12,,
概況,12,,
張穎穎,12,,
建軍,12,건군,build an army
宣言,12,선언하다.,Declaration
咖啡,12,커피,Coffee
哥哥,12,,
學歷,12,학력,Educational background
範疇,12,범주,category
跨境,12,재산,Property
黃秀芳,12,황슈팡,Huang Hsiu-fang (disambiguation)
林青霞,12,,
外籍,12,외국 국적의,foreigners
設法,12,변호사,Counsel
維,12,,
動用,12,영업,Business operations
信用,12,신용,credit
急性,12,,
境,12,경지,territory
管理局,12,관리국,Authority
學,12,연결 전보,electrical connection
特區,12,특구,Special Administrative Region
推特發文,12,,
劉樂妍,12,,
法定,12,법정의,statutory
分公司,12,,
蔡玉真,12,,
抗威,12,위세에 맞서다,defy authority
設性,12,천성을 갖추다,set up nature
深信,12,굳게 믿다,be convinced that
地上,12,땅바닥,on the ground
世界秩序,12,세계 질서,World order
獨裁者,12,독재자,dictator
位數,12,,
政要,12,뱅글뱅글,round and round
旺季,12,성수기,peak season
實施,12,실시하다.,Implementation
名稱,12,이름,Name
事館,12,,
湖北,12,,
杭州,12,항저우,Hangzhou (People's Republic of China)
核定,12,사정,Approved
購票,12,,
標語,12,표어,Slogan (disambiguation)
仗,12,의지하다,fight
神,12,신,god
菜,12,요리,side dish
市議員候,12,,
鵬,12,붕,peng
中央政治局常委,12,중앙정치국 상무위원,Politburo Standing Committee
互動,12,상호 작용하다,Interaction
武,12,심각하다,severe
見面,12,만나다.,meet
政局,12,약품,Drugs
機車,12,,
領導者,12,영도자,leader
帳戶,12,구좌,Accounts
二度,12,두 번,second degree
高嘉瑜,12,가오자위,Gao Ka-yu (disambiguation)
碼,12,보건 기구,WHO
莊立平,12,,
有效率,12,능률,efficiency
綠能,12,체험하다.,experience
疾控中心,12,,
泰晤士,12,,
淡江,12,컨테이너,container
面板,12,추이스,Chiu Yi-ssi (disambiguation)
轟炸機,12,돌반점,speckled
合法性,12,합법성,legality
劉結,12,유결,Liu Jie (disambiguation)
細數,12,세세하다,fine number
戴琪,12,다이치,Decky (disambiguation)
方可,12,할 수 있다,only
類型,12,종류,Type (disambiguation)
陸客,12,육객,land passenger
首例,12,,
假消息,12,가짜 뉴스,Fake news
示威者,12,시위자,Demonstrators
邊界,12,경계선,border
廣場,12,광장,square
公共政策,12,공공정책,Public policy
王任賢,12,,
熱絡,12,열락,warm connection
月台,12,플랫폼,platform
博覽會,12,박람회,exhibition
房間,12,,
童文薰,12,,
亞太地區,12,아시아 태평양 지역,Asia-Pacific region
門檻,12,문지방,threshold
中紀委,12,,
叉,12,,
中共中央政治局,12,중국공산당 중앙정치국,Politburo of the CPC Central Committee
秘密,12,바이러스에 감염되다,viral infection
媽,12,,
典範,12,본보기,model
母艦,12,모함,mother ship
上合組織,12,이덕,Reed (disambiguation)
會,12,될 것,Yes.
財團,12,재단,consortium
公寓,12,,
全省,12,,
先,12,먼저,first
波音,12,보잉,"Boeing Co., Ltd."
注意力,12,주의력,attention
大橋,12,,
亂象,12,,
食藥署,12,,
林氏璧,12,,
天氣,12,날씨,Weather
智崴,12,,
吳密察,12,,
羅智強,12,,
啤酒,12,,
教師,12,교사,Teachers
血性,12,,
出院,12,,
倫敦,12,특수,chief executive
心肌炎,12,,
全域,12,,
階級,12,계급,class
邊緣,12,가장자리,edge
班子,12,극단,team
連勝文,11,,
寶山,11,,
股息,11,배당금,dividend
宴席,11,,
契約,11,,
總計,11,,
徐承義,11,,
權威,11,권위,authority
省市,11,성과 시,Provinces and municipalities
黃耀毅,11,,
跳票,11,,
圖片,11,그림,Pictures
歷,11,겪다,calendar
全身,11,,
大都,11,대부분,mostly
跌,11,,
陳金德,11,,
弟弟,11,,
語氣,11,말투,tone of voice
保密,11,비밀을 지키다,Confidentiality
饒慶鈴,11,,
陳男,11,,
波蘭,11,폴란드,Poland
史丹佛大,11,스탠퍼드 대학교,Stanford University (disambiguation)
計程,11,,
眾議員,11,하원 의원,U.S. House of Representatives
聲勢,11,기세,momentum
通匯,11,,
福斯,11,포스,Forth
老婆,11,,
職員,11,,
廣,11,,
校方,11,학교측,school administration
優質,11,양질,high quality
票數,11,표수,Number of votes
林向陽,11,,
報案,11,,
靜態,11,,
用餐,11,,
席位,11,자리,Seats
貝肯,11,,
林俊憲,11,임준헌,Lim Joon-heon (disambiguation)
體,11,채용하다,hire
流動性,11,유동성,fluidity
曾於,11,일찍이,had been
大通,11,체이스,Chase Corporation
買票,11,,
國防委員會,11,국방위원회,National Defense Commission
蘇紫雲,11,소자운,Su Ziyun (disambiguation)
業人員,11,,
南非,11,남아프리카공화국,South Africa
網通,11,넷콤,Netcom (disambiguation)
覆蓋率,11,,
紀念,11,기념하다.,commemorate
四川省,11,,
股東,11,공원,Park (disambiguation)
曹,11,조,Thao (disambiguation)
西韋,11,,
樣子,11,본새,appearance
生病,11,,
災難,11,재난,calamity
經理人,11,매니저,manager
頻傳,11,빈번히 전해 오다,be transmitted frequently
蛋,11,알,egg
士林,11,,
內外,11,생산액,output value
主體,11,산동,Shandong Province
價值觀,11,가치관,Values and values
嚴正,11,엄정하다,strict
防衛費,11,,
市值,11,시가,market capitalization
一邊,11,한편,one side
作風,11,태도,style of work
部落,11,부락,tribe
限期,11,기일,time limit
坑,11,,
自律,11,,
羊,11,양,sheep
師,11,사단,teacher
外力,11,외력,external force
共同社,11,교도통신,Kyodo News Agency
藥廠,11,,
外地,11,,
能源安全,11,에너지 안보,Energy security
中亞,11,중앙아시아,Central Asia
台籍,11,대만 출신,Taiwanese nationality
中華大學,11,,
盧布,11,루블,ruble
血液,11,,
大權,11,대권,great power
華航,11,,
專機,11,전용기,a private plane
呼聲,11,외침,cry
名人,11,,
資本額,11,,
情境,11,복지,Welfare
火車,11,기타,Train (disambiguation)
交鋒,11,겨루다,exchange of arms
反省,11,반성하다.,reflect on oneself
嘉義市,11,,
總領,11,,
水果,11,쿤산,Kunshan (People's Republic of China)
心裡,11,마음속,in one's mind
英國國會,11,영국 의회,Parliament of the United Kingdom
品項,11,,
笑容,11,,
官兵,11,시청,municipal government
護國,11,츄 궈정,Qiu Kuo-cheng (disambiguation)
烏魯木齊市,11,,
紅碼,11,,
藍,11,남색,blue
遊卡,11,,
夫妻,11,,
國立大學,11,국립 대학교,National universities
外籍人士,11,,
刺針,11,자침,sting
大力支持,11,대대적으로 지지하다,Strong support
維安,11,,
缺貨,11,품절되다,out of stock
聯邦,11,연방,Commonwealth of Nations
致公,11,,
原住民,11,원주민,Indigenous peoples
火箭,11,로켓,Rockets
抵抗力,11,,
原型,11,,
外匯,11,외국환,Foreign exchange
衛,11,지키다,guard
攻勢,11,공세,offensive
中斷,11,인터럽트,interrupt
眾議院,11,하원,House of Representatives
北美,11,무술,martial arts
鍋,11,냄비,pot
陳耀祥,11,,
美國海軍,11,미국 해군,United States Navy
華視,11,,
物質,11,물질,Substance (material)
區塊,11,블록,block
畹鎣,11,,
環節,11,고리,link
產經,11,산경,Book of Sankei
志,11,뜻,aim
帝國,11,임창좌,Im Chang-sa (disambiguation)
鄭柵潔,11,,
巴基斯坦,11,파키스탄,Pakistan national football team
無辜,11,죄가 없다,innocent
座位,11,,
巴黎,10,파리,City of Paris
上海市委,10,상하이시 위원회,Shanghai Municipal Committee of the People's Republic of China
萬變,10,,
賊,10,,
辦事,10,일을 처리하다,go about one's business
全面性,10,전면성,comprehensiveness
起點,10,출발점,starting point
資歷,10,경력,seniority
官場,10,,
蘇聯,10,소련,Soviet Union (disambiguation)
校友,10,동문,alumni
水位,10,수위,water level
院士,10,원사,academician
陽明,10,양명,brightness
大城,10,,
海運,10,해운,Sea transportation
蛋糕,10,,
挪威,10,노르웨이,Norway
交由,10,맡기다,hand over to
明仁,10,,
工作者,10,일꾼,Workers
人手,10,,
全案,10,,
廣大台灣,10,광대한 대만,Taiwan as a whole
規矩,10,규칙,rules and regulations
古巴,10,오르다,rise
班次,10,,
住家,10,,
熊,10,곰,bear
親信,10,측근,close confidant
機艦,10,경증,mild illness
李永得,10,,
童子,10,동자,boy
接棒,10,바통을 이어받다,take a stick
主導權,10,주도권,Dominance (disambiguation)
縣黨,10,,
途中,10,도중,on the way
動機,10,젤렌스,Zelens (disambiguation)
殷克,10,,
朝向,10,향하다,point toward
總值,10,총액,gross value
篇幅,10,편폭,space
實地,10,,
眼鏡,10,안경,Glasses
夏立言,10,하립언,Xia Liying (disambiguation)
論,10,전교,the whole school
神山,10,재정과 경제,Finance and Economy
資通訊,10,자본 통신,Newsletter
基調,10,기조,tone
孩童,10,,
地面,10,연회석,Seats
烏軍,10,우루과이의 군대,Armed Forces of Uzbekistan
蕭美琴,10,여성,negative
九州,10,,
雙向,10,양방향,two-way
季營,10,,
高水平,10,높은 수준,high level
特權,10,특권,Privilege (disambiguation)
狀者,10,,
長線,10,롱 라인,a long line
小狗,10,,
烏國,10,츠지,Tzu Chi Corporation
利基,10,틈새,niche
球員,10,선수,Player of the Year
內心,10,속마음,heart
明星,10,스타,star
盤中,10,피,blood
羅家英,10,,
料,10,예측하다,material
支部,10,,
創黨,10,,
專責,10,,
核電,10,원자력 발전,Nuclear power
第一島鏈,10,해주,pearl of the sea
李登輝,10,리덩후이,Lee Teng-hui (disambiguation)
美女,10,,
春運,10,,
鄭麗文,10,,
聚餐,10,,
垃圾,10,쓰레기,rubbish
癲癇,10,,
職權,10,,
天津,10,자오춘산,Chao Chun Shan (disambiguation)
遼寧,10,의학,Medical
戶外,10,,
定案,10,판결을 내리다,finalization of a bill
勇,10,용감하다,valiant
吳東亮,10,,
東南,10,동남쪽,southeast
楊寶楨,10,,
守土,10,,
年輕人,10,젊은이,young people
卜蜂,10,,
圖謀,10,항공기,Aircraft (aircraft)
麥卡錫,10,매카시,McCarthy (disambiguation)
門診,10,,
羅馬尼亞,10,,
國力,10,국력,national strength
東北亞,10,동북아시아,Northeast Asia
流,10,,
業務量,10,,
分析家,10,핵에너지,Nuclear power
火星,10,,
黃志芳,10,,
辦公廳,10,총무처,General Office
晴雯,10,,
謝志偉,10,,
謝佩芬,10,,
極端,10,극히,extreme
外國人,10,,
軍官,10,장교,officers
吳尊友,10,오존우,Wu Zunyou (disambiguation)
毒品,10,마약,Drugs (disambiguation)
營商,10,장사꾼,do business
毛額,10,총액,Gross national income
網民,10,사인,Cause of death
廠房,10,공장 건물,factory building
全數,10,전액,in full
徵召,10,징집하다,call in
信號,10,신호,signal
俄軍,10,상금,prize money
謝錫璋,10,,
莫健,10,,
寶座,10,보좌,throne
室主任,10,실주임,Chief of Staff
世,10,세상,the world
高票,10,고액권,a high vote
專線,10,,
流感疫苗,10,,
美惠,10,미혜하다,Mei-hye (disambiguation)
普通,10,보통,Ordinary
皇帝,10,황제,Emperor of the People's Republic of China
苦苓,10,,
宏觀,10,가르치다,Teaching
蔣介石,10,장개석,Chiang Kai-shek (disambiguation)
列席,10,연회에 참석하다,attendance
甘肅,10,,
途徑,10,비밀,secret
葉倫,10,옐런,Yellen
李艷秋,10,,
場面,10,체면,scene
許可,10,허가하다,permission
輝,10,빛나다,glow
最高峰,10,,
常備,10,,
言人張,10,언인장,a bill of exchange
輪,10,,
紐時,10,새로운 시대,New Year's Day
冠軍,10,우승자,Champion of the United States
惡質,10,,
行事,10,행동하다,act
中科院,10,중국과학원,Chinese Academy of Sciences
定南,10,,
政治化,10,정치화하다,politicization
釋迦,10,석가,Buddha (disambiguation)
會者,10,회자,congregation
惠恕仁,10,,
步伐,10,걸음걸이,stride
表情,10,,
衣服,10,,
緋聞案,10,,
和服,10,기모노,Kimono (music)
花,10,꽃,flower
閥門,10,,
院校,10,단과 대학과 종합 대학,Colleges and universities
蔚,10,무성하다,strong
民國,10,한유,Korea Yu
動工,10,,
大道,10,,
縣議員,10,현의원,county councillor
匯率,10,환시세,Exchange rate
表面,10,겉모습,surface
典型,10,전형적,typical
張上淳,10,,
法令,10,법령,Statutes and ordinances
臉部,10,,
外流,10,유출되다,outflow
時則,10,,
警察局,10,,
傳聞,10,소문,rumour
網傳,10,,
王丹,10,,
引擎,10,엔진,Engine (engine)
母公司,10,모회사,parent company
日盛,10,,
郵輪,10,,
經濟黨,10,,
謝鋒,10,셰펑,Xie Feng (disambiguation)
同路人,10,길동무,fellow traveler
公費,10,,
斯科夫,10,,
問候,10,,
亮眼,10,눈부시다,brighten one's eyes
魅力,10,매력,charm
王儲,10,왕세자,Crown Prince
記長,10,,
八方,10,,
用地,10,,
郭董,10,,
太陽,10,태양,the sun
受害人,10,,
供貨,10,공급하다,supply
車廂,10,,
西亞,10,,
坦率,10,솔직하다,frankness
課題,10,상하이 시,City of Shanghai
信函,10,,
軍民,10,군민,military and civilian
檔案,10,기록 보관소,Files
朝陽區,10,,
鋼鐵,10,능도,rough seas
電商,10,영예,honor
沈富雄,10,심부웅,Shen Fu-hsiung (disambiguation)
結盟,10,동맹을 맺다,form an alliance with
意指,10,,
金冬雁,10,,
女孩,10,,
次數,10,횟수,Number of times
河南省,10,,
自民黨,10,자민당,Liberal Democratic Party (LDP)
推特,10,트위터,twitter
眼中,10,군중,crowd
林氏,10,,
璧,10,,
專人,10,,
重創,10,중상을 입다,be severely damaged
評價,10,득표율,percentage of votes cast
系統性,10,체계성,systematic
口角,10,,
島國,9,섬나라,Island countries
情感,9,감정,emotion
級別,9,등급,rank
文書,9,,
人名,9,,
講法,9,,
長栗,9,,
明人,9,,
位議員,9,,
草稿,9,,
劉宇,9,,
子女,9,자녀,Children
高鐵,9,고속철도,high-speed rail
下場,9,끝장,come to an end
小涵,9,,
榮耀,9,,
花費,9,소비하다,cost
酒吧,9,,
死者,9,,
合影,9,함께 찍은 사진,take a group photo
沙爾曼,9,샤르만,Sharman (disambiguation)
昆山,9,쿤산,Kunshan (People's Republic of China)
官邸,9,관저,official residence
戰略性,9,전략적,strategic
全球性,9,어민,Fishermen
市集,9,,
